Rank,"Name, Team",Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG
130.0,"Brandon Clarke, San Jose St.",So.,2023-06-08 00:00:00,G,30,219,1,79,518,17.3
,"Steven Spieth, Brown",Sr.,2023-06-06 00:00:00,G,30,153,50,162,518,17.3
132.0,"Jacorey Williams, Middle Tenn.",Sr.,2023-06-08 00:00:00,F,36,258,2,103,621,17.3
133.0,"Dwayne Bacon, Florida St.",So.,2023-06-07 00:00:00,G,35,221,57,104,603,17.2
,"Malcolm Hill, Illinois",Sr.,2023-06-06 00:00:00,G,35,189,65,160,603,17.2
135.0,"Antonio Blakeney, LSU",So.,2023-06-04 00:00:00,G,31,194,53,92,533,17.2
,"Ria'N Holland, Mercer",Jr.,6-0,G,31,177,77,102,533,17.2
137.0,"Tanner Leissner, New Hampshire",Jr.,2023-06-06 00:00:00,F,32,185,21,156,547,17.1
,"Marcus Tyus, Omaha",Sr.,2023-06-01 00:00:00,G,32,171,72,133,547,17.1
139.0,"Khris Lane, Longwood",Jr.,2023-06-06 00:00:00,F,30,208,32,64,512,17.1
140.0,"Tookie Brown, Ga. Southern",So.,2023-05-11 00:00:00,G,33,177,61,148,563,17.1
,"Khadeen Carrington, Seton Hall",Jr.,2023-06-04 00:00:00,G,33,189,63,122,563,17.1
142.0,"Kevin Hervey, UT Arlington",Jr.,2023-06-07 00:00:00,F,35,208,68,113,597,17.1
143.0,"James Blackmon Jr., Indiana",Jr.,2023-06-04 00:00:00,G,30,174,91,72,511,17.0
,"John Murry, Austin Peay",Sr.,2023-06-04 00:00:00,G,30,165,41,140,511,17.0
145.0,"Cameron Reynolds, Tulane",Jr.,2023-06-08 00:00:00,G,31,184,78,82,528,17.0
,"Tai Webster, Nebraska",Sr.,2023-06-04 00:00:00,G,31,183,40,122,528,17.0
147.0,"Matt Scott, Niagara",Jr.,2023-06-04 00:00:00,G,33,187,65,122,561,17.0
148.0,"Omega Harris, UTEP",Jr.,2023-06-03 00:00:00,G,31,183,49,111,526,17.0
,"Jalen Moore, Utah St.",Sr.,2023-06-09 00:00:00,F,31,181,63,101,526,17.0
150.0,"Darian Anderson, FDU",Jr.,2023-06-01 00:00:00,G,29,165,57,105,492,17.0
151.0,"Ethan Telfair, Idaho St.",Sr.,6-0,G,28,146,42,141,475,17.0
152.0,"Jock Landale, Saint Mary's (CA)",Jr.,2023-06-11 00:00:00,C,34,229,4,114,576,16.9
,"Marquise Moore, George Mason",Sr.,2023-06-02 00:00:00,G,34,202,10,162,576,16.9
154.0,"Ehab Amin, A&M-Corpus Christi",Jr.,2023-06-04 00:00:00,G,36,225,43,116,609,16.9
155.0,"Ervin Mitchell, Grambling",Fr.,2023-06-04 00:00:00,G,30,166,42,133,507,16.9
156.0,"Troyce Manassa, Savannah St.",Sr.,2023-06-04 00:00:00,G,29,161,64,104,490,16.9
157.0,"Miles Bridges, Michigan St.",Fr.,2023-06-07 00:00:00,F,28,177,56,63,473,16.9
158.0,"Mo Evans, Purdue Fort Wayne",Sr.,2023-06-01 00:00:00,G,33,197,100,63,557,16.9
159.0,"Wesley Myers, Maine",Jr.,2023-06-01 00:00:00,G,28,164,34,110,472,16.9
160.0,"Melo Trimble, Maryland",Jr.,2023-06-03 00:00:00,G,33,180,58,138,556,16.8
161.0,"Nigel Williams-Goss, Gonzaga",Jr.,2023-06-03 00:00:00,G,38,220,43,157,640,16.8
162.0,"Jerome Frink, LIU",Sr.,2023-06-07 00:00:00,F,31,200,29,93,522,16.8
163.0,"Jayson Tatum, Duke",Fr.,2023-06-08 00:00:00,F,29,165,40,118,488,16.8
164.0,"Marquis Wright, Siena",Sr.,2023-06-01 00:00:00,G,33,191,53,120,555,16.8
165.0,"Darell Combs, IUPUI",Sr.,2023-06-02 00:00:00,G,32,187,63,100,537,16.8
166.0,"Shawndre' Jones, Richmond",Sr.,2023-05-11 00:00:00,G,35,198,69,122,587,16.8
,"Zach Lofton, Texas Southern",Jr.,2023-06-03 00:00:00,G,35,185,33,184,587,16.8
