RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2010,Drafted?,Draft Pick,Draft Year
332,Desmond Yates,F,26,28.5,14.0,5.6,11.0,50.7,1.2,2.7,43.7,1.7,2.1,81.5,4.0,0.5,0.4,0.2,0.9,,,,,,
333,Chris Gradnigo,F,27,27.1,14.0,5.0,11.7,42.7,1.0,3.3,28.9,3.1,4.1,74.8,3.9,0.5,0.4,0.3,2.1,,,,,,
334,Chase Simon,G,34,30.9,14.0,5.0,12.4,40.2,1.4,4.3,33.6,2.6,4.1,63.8,5.1,2.5,1.2,0.2,3.2,,,,,,
335,Jay Couisnard,F,30,31.4,14.0,4.4,11.1,39.6,0.9,2.6,33.8,4.3,6.0,71.8,4.5,1.9,1.0,0.4,2.3,,,,,,
335,Eugene Harris,G,30,30.7,14.0,4.6,12.0,38.7,2.4,7.0,34.1,2.3,2.7,87.5,2.6,2.0,1.1,0.1,1.6,,,,,,
335,Dwain Williams,G,14,28.4,14.0,3.6,10.6,34.5,2.2,6.4,34.4,4.5,5.1,88.7,1.1,1.3,0.3,0.0,1.6,,,,,,
335,Kelvin Martin,F,30,32.1,14.0,5.5,10.9,50.5,0.0,0.4,7.7,3.0,4.8,61.4,8.4,2.0,2.1,0.8,2.5,,,,,,
335,Kenny Boynton,G,34,32.9,14.0,4.9,12.9,37.6,2.1,7.2,29.4,2.2,2.9,74.7,2.6,2.7,1.1,0.2,2.0,,,,,,
340,Kim English,G,34,24.1,14.0,4.6,11.7,39.3,2.0,5.4,37.0,2.8,3.9,72.5,3.4,1.1,1.3,0.1,2.1,Yes,44.0,2012.0,,,
341,Tyler Wilkerson,F,33,26.3,14.0,5.1,9.9,51.8,0.5,1.4,32.6,3.3,4.2,77.1,7.2,1.0,0.6,1.0,1.6,,,,,,
342,Jeremy Goode,G,31,32.7,14.0,4.6,10.9,42.4,1.0,3.1,31.6,3.8,5.7,65.7,2.6,4.3,2.5,0.2,3.3,,,,,,
342,Anthony Miles,G,31,33.9,14.0,4.3,10.2,42.0,1.2,3.3,35.6,4.2,5.6,75.3,5.5,3.5,1.4,0.1,3.0,,,,,,
344,Brandon Johnson,G,29,32.0,14.0,4.1,11.7,35.4,1.9,6.0,32.2,3.8,4.8,77.9,2.7,3.4,1.9,0.0,2.4,,,,,,
345,Devon Baker,G,26,26.7,14.0,3.9,9.9,39.1,1.5,4.7,32.8,4.7,6.4,72.9,2.5,1.7,1.0,0.0,2.5,,,,,,
346,Quinn McDowell,G-F,32,33.3,13.9,4.5,9.2,49.3,1.8,4.3,42.6,3.1,3.8,80.3,4.3,1.3,0.6,0.1,1.2,,,,,,
347,Tyler Laser,G,31,32.2,13.9,4.6,10.5,44.0,2.1,5.2,40.1,2.5,3.0,84.0,2.6,2.2,0.7,0.1,2.4,,,,,,
348,Jordan Miller,G,28,31.5,13.9,4.3,11.0,39.2,1.9,5.3,34.9,3.4,4.3,80.7,4.1,1.8,0.9,0.4,2.1,,,,,,
349,Ekpe Udoh,F-C,36,35.1,13.9,5.3,10.8,49.0,0.2,0.7,26.9,3.1,4.5,68.5,9.8,2.7,0.8,3.7,2.4,Yes,6.0,2010.0,Yes,6.0,2010.0
350,Maurice Joseph,G,35,29.2,13.9,4.1,10.3,39.6,2.2,5.9,37.4,3.5,4.1,84.8,2.6,1.1,0.5,0.2,1.5,,,,,,
350,Tommy Hubbard,G,35,33.5,13.9,5.2,11.7,44.6,0.4,1.3,27.7,3.1,4.3,71.7,8.2,1.2,1.7,0.4,2.3,,,,,,
352,Darrin Govens,G,31,31.8,13.9,4.7,12.1,39.3,2.3,6.7,34.3,2.1,3.0,70.7,3.7,3.0,1.5,0.2,2.3,,,,,,
352,Damian Hollis,F,31,23.1,13.9,4.7,11.2,42.4,1.2,3.4,35.6,3.2,3.8,83.9,4.9,1.2,0.8,0.8,2.2,,,,,,
354,Roman Martinez,F,35,32.1,13.9,4.6,10.4,43.8,2.8,6.9,41.2,1.9,2.5,75.0,5.9,1.4,1.5,0.5,0.9,,,,,,
355,Magnum Rolle,F-C,34,30.1,13.9,5.6,10.8,51.4,0.0,0.0,0.0,2.7,4.1,66.0,8.4,0.8,0.8,2.1,2.0,Yes,51.0,2010.0,Yes,51.0,2010.0
356,Ryan Litke,G,29,27.4,13.8,4.8,11.4,42.4,2.9,7.3,40.1,1.2,1.7,72.0,4.1,1.8,1.1,0.1,2.7,,,,,,
357,Ryan Rossiter,F,34,32.9,13.8,5.1,8.9,57.1,0.0,0.2,16.7,3.7,4.8,76.7,11.1,1.0,1.4,1.0,1.4,,,,,,
358,Jamie Jones,F,32,28.9,13.8,5.6,9.7,58.3,0.0,0.0,0.0,2.6,3.5,73.9,7.7,1.0,0.7,2.3,1.4,,,,,,
358,Bryan Dougher,G,32,31.6,13.8,4.6,11.0,41.4,3.0,7.0,42.4,1.7,2.1,82.1,2.8,1.8,1.0,0.1,1.3,,,,,,
360,Mario Flaherty,F-C,31,28.5,13.8,5.0,9.2,54.5,0.0,0.1,0.0,3.7,5.5,67.4,9.2,1.1,0.4,1.5,3.5,,,,,,
361,Deilvez Yearby,F,30,25.7,13.8,5.1,11.9,43.0,0.4,1.0,36.7,3.2,4.9,65.1,8.7,1.2,0.6,2.5,2.7,,,,,,
361,Jake O'Brien,F,35,33.1,13.8,4.7,11.9,39.7,1.5,4.1,35.2,2.9,3.8,77.3,6.4,0.5,0.6,1.2,1.7,,,,,,
361,Fred Hunter,G,30,28.0,13.8,4.9,10.1,48.2,0.5,2.1,22.6,3.6,5.7,63.2,5.2,1.1,1.5,0.1,2.2,,,,,,
364,Mickey McConnell,G,34,36.1,13.8,4.7,9.2,50.8,2.3,4.4,51.0,2.2,2.6,84.1,2.4,5.1,1.5,0.2,2.2,,,,,,
365,Wendell Preadom,G,33,32.7,13.8,4.2,9.9,41.8,0.8,2.6,32.9,4.6,6.1,76.1,4.9,1.8,1.4,0.1,2.0,,,,,,
366,Michael Hunter,G,32,29.3,13.8,4.4,10.8,40.5,2.5,6.9,36.2,2.5,2.9,87.1,2.4,2.3,1.3,0.1,2.1,,,,,,
366,Jim Mower,G,32,26.8,13.8,4.7,10.4,44.6,2.9,6.2,46.5,1.6,2.0,81.0,2.0,1.9,0.4,0.1,1.0,,,,,,
368,Jarvis Varnado,F,36,31.7,13.8,5.1,8.8,58.2,0.0,0.0,0.0,3.6,5.8,61.0,10.3,0.9,0.7,4.7,2.0,Yes,41.0,2010.0,Yes,41.0,2010.0
369,Dwight Lewis,G,30,35.6,13.8,4.8,12.2,39.6,1.4,4.7,30.5,2.7,3.5,76.9,2.9,1.5,1.2,0.2,2.5,,,,,,
370,Wesley Jenkins,G,29,34.7,13.8,4.8,13.6,35.3,2.0,5.9,33.3,2.2,2.8,78.0,5.2,1.6,1.3,0.5,2.4,,,,,,
371,Marcus Neal,G,29,33.6,13.7,4.8,12.4,39.0,2.4,6.4,36.9,1.7,2.4,69.0,4.3,1.4,0.4,0.2,2.1,,,,,,
372,Marc Trasolini,F,32,29.3,13.7,4.7,8.8,53.2,0.6,1.7,35.2,3.8,4.9,78.2,6.1,0.6,0.7,1.6,1.8,,,,,,
373,Deon Thompson,F,37,26.9,13.7,5.3,10.9,48.4,0.0,0.1,0.0,3.1,4.5,69.3,6.7,0.8,1.1,1.0,1.8,,,,,,
373,Chris Wright,F,37,28.6,13.7,5.1,10.1,50.1,0.2,1.0,21.1,3.4,5.0,67.6,7.3,1.2,1.0,1.4,2.4,,,,,,
375,Travele Jones,F,32,32.3,13.7,4.6,9.7,47.3,0.8,2.7,28.2,3.8,6.4,58.8,5.9,1.4,1.8,0.8,3.3,,,,,,
376,Harry Marshall,G,25,33.2,13.7,4.6,9.9,46.6,1.0,2.9,34.2,3.5,4.1,84.5,3.9,3.4,1.2,0.0,2.3,,,,,,
377,Josh Taylor,F,33,32.2,13.7,4.9,10.3,47.2,2.3,6.0,39.1,1.6,2.2,72.2,4.2,1.7,0.8,0.5,1.4,,,,,,
378,Tai Wesley,F,35,27.5,13.7,5.5,9.5,57.4,0.0,0.1,0.0,2.7,3.9,70.1,6.6,3.3,0.6,1.3,1.8,,,,,,
379,T.J. Campbell,G,32,32.6,13.7,4.0,9.3,43.6,2.0,4.6,42.6,3.6,4.0,89.9,2.5,5.6,1.1,0.1,3.0,,,,,,
380,Justin Greene,F,34,28.1,13.6,4.6,8.5,54.5,0.0,0.0,0.0,4.4,5.4,80.0,6.9,1.3,0.8,0.9,2.1,,,,,,
381,Julius Coles,G,31,32.5,13.6,4.4,12.0,36.7,2.0,5.8,34.4,2.9,4.0,72.4,4.6,1.2,0.7,0.2,2.3,,,,,,
382,Kyle Weems,F,36,28.8,13.6,5.0,10.5,47.5,2.0,4.9,40.7,1.6,2.1,77.6,6.2,1.8,1.4,1.0,1.1,,,,,,
383,Karon Abraham,G,35,26.8,13.6,3.8,8.8,43.0,2.4,5.5,44.3,3.6,4.2,85.1,2.2,1.5,0.7,0.1,1.8,,,,,,
384,Steven Gray,G,34,31.9,13.6,4.7,10.2,46.1,1.5,4.6,32.9,2.7,3.4,77.8,4.0,2.9,1.1,0.4,2.2,,,,,,
385,Damon Jones,G,29,24.6,13.6,5.0,11.7,43.1,1.9,5.1,37.4,1.6,2.3,70.1,3.4,0.4,0.4,0.1,1.4,,,,,,
385,Benzor Simmons,G,29,27.0,13.6,4.4,10.7,41.7,0.9,3.1,29.7,3.8,4.7,80.7,5.2,0.6,0.8,0.2,2.1,,,,,,
387,Chase Holmes,G,31,29.3,13.6,5.1,11.3,45.6,0.7,2.4,28.0,2.6,3.8,69.5,4.2,1.1,1.3,0.1,3.1,,,,,,
388,Chaisson Allen,G,33,35.4,13.6,4.6,10.4,44.0,2.1,5.3,39.7,2.3,3.2,74.0,4.7,3.6,1.5,0.0,2.3,,,,,,
388,Clarence Jackson,G,33,26.7,13.6,4.7,10.9,42.8,2.2,6.0,35.7,2.1,2.9,72.6,2.5,0.8,1.8,0.4,1.4,,,,,,
390,Anthony Gurley,G,32,24.9,13.6,4.5,11.4,39.3,1.2,3.9,31.5,3.4,4.5,75.7,4.2,1.0,0.4,0.1,2.2,,,,,,
391,Josh Vaughan,G,29,35.6,13.6,4.6,11.3,40.1,2.2,5.9,37.2,2.2,3.0,73.9,5.5,3.7,0.9,0.3,2.0,,,,,,
392,Taylor Brown,F,27,30.2,13.5,4.9,10.4,47.2,0.6,1.9,29.4,3.1,3.8,82.4,6.9,1.1,0.9,0.4,2.2,,,,,,
393,Joe Dukes,G,32,31.2,13.5,5.0,11.7,43.2,0.6,2.2,27.1,2.8,3.9,72.8,5.2,3.8,1.8,0.1,2.7,,,,,,
394,Kevin Jones,F,38,33.0,13.5,5.2,10.1,52.1,1.1,2.7,40.4,1.9,2.9,66.1,7.2,1.1,0.6,0.9,1.1,,,,,,
