RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2007,Drafted?,Draft Pick,Draft Year
423,Darren Hopkins,G,32,30.9,13.4,4.2,9.8,43.0,2.1,4.8,43.5,2.9,4.0,72.1,3.6,2.8,,,,,,
424,Lamont Hamilton,F,30,29.5,13.4,4.3,9.4,46.3,0.4,1.2,35.1,4.3,5.8,74.3,6.5,1.4,,,,,,
424,Blagoj Janev,F,30,32.1,13.4,4.4,11.1,40.1,1.7,4.9,35.1,2.8,4.4,64.4,5.0,1.6,,,,,,
424,Tyler Morris,G,30,31.6,13.4,4.5,9.7,46.2,2.0,4.3,46.9,2.4,3.0,80.2,3.0,2.4,,,,,,
427,Anthony Tolliver,C,33,31.6,13.4,4.8,9.5,50.6,0.1,0.6,21.1,3.7,5.7,65.8,6.7,1.9,,,,,,
427,Mark Dorris,G,33,27.8,13.4,4.5,10.5,42.8,1.5,4.1,35.3,2.9,4.2,69.8,4.2,1.7,,,,,,
429,Dion Harris,G,35,32.8,13.4,4.2,11.2,37.5,2.1,5.7,35.8,2.9,3.4,85.8,2.4,3.6,,,,,,
430,Joseph Jones,F-C,34,27.3,13.4,4.7,8.5,55.2,0.4,0.9,40.0,3.7,4.7,78.1,6.8,1.3,,,,,,
431,Kevin Coble,F,29,31.1,13.4,5.4,10.9,49.4,1.6,4.0,38.8,1.1,1.3,79.5,5.2,1.6,,,,,,
432,Mike Jefferson,G,32,31.2,13.4,3.8,11.3,34.2,2.1,6.6,31.1,3.6,4.4,82.3,3.3,5.1,,,,,,
433,Carlos Rivera,G,33,34.0,13.3,4.0,9.1,43.5,2.0,4.8,42.0,3.4,4.0,84.2,4.0,4.0,,,,,,
433,Will Thomas,F,33,34.8,13.3,5.4,8.6,62.7,0.0,0.0,0.0,2.5,4.1,62.2,6.9,2.2,,,,,,
435,John Baumann,F,28,28.6,13.3,5.2,9.0,57.8,1.0,2.0,50.9,1.9,2.8,68.4,6.5,0.9,,,,,,
436,Louis Dale,G,28,28.7,13.3,4.0,8.5,46.6,1.6,3.4,46.8,3.8,4.8,78.5,4.3,3.7,,,,,,
437,Jarrid Frye,G,32,27.1,13.3,5.3,11.1,47.7,0.2,1.1,17.6,2.5,4.1,61.4,5.0,2.7,,,,,,
438,Kammron Taylor,G,36,32.8,13.3,4.0,9.5,41.9,1.9,4.9,38.4,3.4,4.4,79.0,2.3,1.9,,,,,,
439,Taurean Green,G,40,33.2,13.3,3.9,8.7,44.4,2.1,5.1,40.4,3.5,4.2,84.9,2.4,3.7,Yes,52.0,2007.0,Yes,52.0,2007.0
440,Raul Orta,G,30,36.0,13.3,4.5,11.8,38.5,2.5,6.8,36.6,1.7,2.3,75.0,3.5,2.0,,,,,,
441,Moussa Diagne,C,31,26.9,13.3,4.9,10.2,47.8,1.1,2.7,39.3,2.5,3.0,81.7,4.8,0.7,,,,,,
442,Jesse Pellot-Rosa,G,35,26.4,13.3,4.3,9.7,44.8,1.9,4.4,42.6,2.7,3.3,80.3,4.5,1.4,,,,,,
442,Josh Shipp,G-F,35,30.1,13.3,4.8,10.2,46.9,1.2,3.8,31.6,2.5,3.1,78.2,3.9,2.6,,,,,,
444,Drew Housman,G,28,36.0,13.3,4.3,10.3,42.2,0.9,3.0,31.3,3.7,4.6,79.8,2.9,3.4,,,,,,
445,Corey Brewer,F,37,28.7,13.2,4.6,9.6,47.5,1.1,3.2,33.6,3.0,4.2,72.3,4.7,2.9,Yes,7.0,2007.0,Yes,7.0,2007.0
446,Thomas Sander,F,33,28.8,13.2,4.8,9.8,48.6,0.8,2.6,32.9,2.8,3.8,73.2,6.4,1.2,,,,,,
447,Jermaine Griffin,F,29,27.5,13.2,5.6,8.9,62.6,0.0,0.0,0.0,2.1,4.2,50.8,6.8,1.2,,,,,,
448,Brian Mason,G-F,30,30.6,13.2,4.6,10.1,45.2,0.6,1.9,32.8,3.5,4.7,74.3,6.0,1.6,,,,,,
448,Kevin Langford,F,30,31.6,13.2,4.5,9.8,46.3,0.5,0.8,56.0,3.7,6.6,56.3,6.0,1.8,,,,,,
448,James Ulrich,F,30,27.5,13.2,4.8,10.0,47.8,0.2,0.8,29.2,3.4,5.7,60.0,6.7,1.5,,,,,,
451,Lewis Clinch,G,14,20.2,13.2,4.7,8.9,53.2,2.1,4.5,47.6,1.6,2.1,76.7,1.9,0.9,,,,,,
452,Al Horford,F-C,38,27.8,13.2,4.9,8.1,60.8,0.0,0.1,0.0,3.4,5.3,64.4,9.5,2.2,Yes,3.0,2007.0,Yes,3.0,2007.0
452,Carlos Medlock,G,19,29.1,13.2,3.9,9.9,39.2,1.6,4.5,35.3,3.8,4.6,83.9,2.9,3.3,,,,,,
454,Rashad Williams,F,10,34.8,13.2,5.5,11.2,49.1,0.0,0.1,0.0,2.2,4.1,53.7,4.7,1.7,,,,,,
455,Dupree Lucas,G,32,28.5,13.2,4.9,11.9,41.4,0.7,3.1,22.4,2.6,4.3,60.4,3.2,3.9,,,,,,
456,Akbar Abdul-Ahad,G,30,37.2,13.2,4.0,10.1,39.7,2.6,6.8,38.7,2.5,3.3,76.8,2.7,4.1,,,,,,
457,Manny Quezada,G,31,27.5,13.2,4.3,9.9,43.1,1.5,4.1,37.3,3.1,3.9,80.8,3.5,3.0,,,,,,
457,Calvin Chitwood,F,31,24.7,13.2,4.9,9.5,51.4,0.8,2.4,32.0,2.6,3.0,85.1,4.9,1.0,,,,,,
457,Garfield Blair,G,31,28.6,13.2,4.9,9.8,49.5,0.1,0.8,16.7,3.3,4.5,73.4,5.7,1.6,,,,,,
460,Kirk Archibeque,C,28,26.0,13.1,4.9,8.7,56.1,0.0,0.0,0.0,3.4,4.8,69.6,6.4,0.9,,,,,,
461,Jeff Adrien,F,31,33.1,13.1,5.0,10.1,49.7,0.0,0.0,0.0,3.1,5.2,58.6,9.7,0.9,,,,,,
462,Kendrick Davis,G,24,28.6,13.1,4.6,11.1,41.6,1.9,5.1,37.7,2.0,2.5,79.7,2.4,1.6,,,,,,
463,Eric Coleman,C,31,28.5,13.1,5.0,9.3,53.7,0.0,0.0,0.0,3.2,5.2,60.9,9.1,1.7,,,,,,
463,Marquis Sullivan,G,31,29.2,13.1,4.5,10.1,44.6,2.8,6.6,42.9,1.2,1.5,84.4,2.6,0.9,,,,,,
465,Mike Christensen,F,15,28.9,13.1,4.2,8.7,48.5,1.1,3.5,32.7,3.5,4.9,71.6,5.7,1.7,,,,,,
466,Florentino Valencia,F,32,28.3,13.1,5.1,7.7,66.7,0.0,0.0,0.0,2.8,4.2,67.2,4.9,0.7,,,,,,
467,Todd Sowell,F,27,28.6,13.0,5.1,9.4,54.2,0.0,0.0,0.0,2.9,4.8,60.5,8.5,0.9,,,,,,
468,Juwann James,F,30,31.6,13.0,5.3,10.3,51.8,0.2,0.6,27.8,2.2,4.1,54.1,5.3,1.6,,,,,,
469,William Byrd,F,31,31.8,13.0,5.5,10.4,52.5,0.2,1.1,18.2,1.9,2.6,73.2,7.5,1.5,,,,,,
470,Jordan Hasquet,F,32,29.3,13.0,4.8,10.0,47.6,1.3,3.7,35.0,2.3,3.0,75.0,6.4,2.0,,,,,,
471,Gary Forbes,G-F,33,28.5,13.0,4.6,10.7,42.7,1.0,3.0,32.7,2.9,4.5,64.0,5.8,2.5,,,,,,
471,Josh McRoberts,F-C,33,35.3,13.0,5.0,9.9,50.2,0.2,0.7,21.7,2.9,4.4,66.4,7.9,3.5,Yes,37.0,2007.0,Yes,37.0,2007.0
473,Kevin Hammack,G,30,33.9,13.0,4.3,10.5,41.0,1.4,4.6,31.2,3.0,4.2,70.6,3.6,3.3,,,,,,
473,Terrance Mouton,G,30,37.5,13.0,4.2,10.9,38.2,2.0,5.7,35.9,2.6,3.4,78.2,3.7,4.3,,,,,,
473,Clayton Morgan,F,31,30.3,13.0,4.3,10.0,42.4,0.3,1.3,20.5,4.2,5.9,72.0,7.1,1.5,,,,,,
473,Josh Alexander,F,29,28.4,13.0,4.0,9.2,43.2,2.5,5.7,43.6,2.6,3.5,74.3,5.3,1.1,,,,,,
473,Trant Simpson,G,28,34.0,13.0,4.0,11.0,35.9,0.6,2.5,24.6,4.5,5.5,81.2,3.2,6.0,,,,,,
478,Lawrence Kinnard,F,31,34.8,13.0,4.7,10.1,46.8,1.9,4.6,41.0,1.6,2.6,63.7,6.2,1.1,,,,,,
479,Devin Sweetney,G-F,29,33.7,13.0,4.1,9.4,43.4,0.6,2.2,26.2,4.2,5.0,83.4,7.7,2.1,,,,,,
