RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2023,Drafted?,Draft Pick,Draft Year
62,BJ Freeman,G,32,30.6,18.2,5.8,14.4,40.6,2.3,6.9,33.6,4.2,5.0,83.1,5.1,2.9,0.8,0.3,3.2,,,,,,
63,Cameron Parker,G,29,34.7,18.1,5.3,10.2,52.5,0.7,1.7,42.9,6.7,8.1,82.6,3.7,6.3,1.1,0.1,2.6,,,,,,
64,Phillip Russell,G,34,32.5,18.1,5.3,13.3,39.8,2.4,6.7,36.1,5.1,6.3,80.5,2.9,5.1,1.6,0.1,2.9,,,,,,
65,Jordan Johnson,G,27,33.6,18.0,5.7,12.4,46.1,3.4,7.1,48.2,3.2,3.9,81.9,2.3,3.8,1.3,0.0,2.9,,,,,,
66,Dwayne Cohill,G,34,34.1,18.0,6.2,12.3,50.6,1.6,3.6,43.1,3.9,4.6,86.5,3.5,4.8,1.4,0.3,2.7,,,,,,
67,Terquavion Smith,G,34,33.6,17.9,6.1,16.1,38.0,2.7,8.0,33.6,3.0,4.3,70.1,3.6,4.1,1.4,0.4,2.2,,,,,,
68,Khalif Battle,G,27,32.2,17.9,5.7,14.0,41.0,2.9,8.1,35.0,3.6,4.0,89.8,3.6,1.8,1.0,0.1,2.3,,,,,,
69,Bowen Born,G,32,33.3,17.9,5.5,13.5,40.9,2.5,6.8,36.7,4.3,5.2,83.7,2.3,2.7,0.9,0.0,2.3,,,,,,
70,Isaiah Stevens,G,26,36.8,17.9,6.6,14.2,46.5,1.8,4.9,37.8,2.9,3.3,86.2,3.4,6.7,0.8,0.3,2.2,,,,,,
71,Grant Nelson,F,30,30.6,17.9,6.6,12.7,52.1,0.8,3.1,26.9,3.8,5.2,72.0,9.3,2.1,0.8,1.7,2.6,,,,,,
72,Mike Miles Jr,G,27,32.0,17.9,5.9,11.8,49.7,1.4,3.9,36.2,4.7,6.3,74.9,2.7,2.7,1.2,0.3,2.6,,,,,,
73,Jaime Jaquez Jr,G,37,33.2,17.8,7.1,14.7,48.1,0.9,2.8,31.7,2.8,3.6,77.0,8.2,2.4,1.5,0.6,1.8,,,,,,
74,Khalil Shabazz,G,34,35.4,17.8,5.4,13.2,40.6,2.8,7.9,35.2,4.3,5.0,85.9,5.4,3.0,2.1,0.1,2.3,,,,,,
75,Ray Harrison,G,36,32.1,17.8,5.7,12.9,44.2,1.4,4.2,32.9,4.9,6.5,76.1,4.0,3.6,0.7,0.2,2.4,,,,,,
76,Jarred Godfrey,G,31,33.2,17.8,5.6,13.7,40.7,2.3,6.8,33.8,4.3,4.8,89.3,5.3,3.6,1.6,0.5,3.0,,,,,,
