RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2006,Drafted?,Draft Pick,Draft Year
354,Aaron Gray,C,33,27.9,13.9,5.2,9.8,52.6,0.0,0.0,0.0,3.6,5.6,63.4,10.5,1.8,Yes,49.0,2007.0,,,
355,John Tofi,F,23,30.2,13.9,5.0,9.7,51.8,0.0,0.0,100.0,3.7,5.3,70.5,9.2,1.7,,,,,,
356,Torrell Martin,G,31,29.0,13.8,4.9,11.1,44.3,2.5,6.2,40.6,1.5,2.6,55.6,5.6,1.4,,,,,,
357,Colin Falls,G,30,35.2,13.8,4.3,10.8,39.9,3.4,8.6,39.7,1.8,2.3,79.7,2.2,1.7,,,,,,
358,Charles Rhodes,F-C,29,26.7,13.8,5.3,9.4,56.4,0.0,0.1,50.0,3.2,4.5,70.8,7.1,0.3,,,,,,
359,Romeo Travis,F,33,30.6,13.8,5.3,10.1,52.4,0.2,0.5,31.3,3.1,4.7,64.7,6.8,1.9,,,,,,
360,Shane Nichols,G,29,34.4,13.8,4.3,10.3,41.5,3.2,7.9,40.8,2.0,2.7,75.6,1.8,1.3,,,,,,
361,Giordan Watson,G,28,37.8,13.8,4.4,11.6,37.8,1.5,4.6,31.8,3.5,4.6,76.2,3.0,4.4,,,,,,
362,Wes Wardrop,G,30,35.8,13.8,4.6,11.6,39.3,2.1,5.9,36.2,2.5,3.3,75.8,2.0,3.8,,,,,,
362,Jamont Gordon,G-F,30,32.9,13.8,4.6,11.4,40.8,0.9,3.5,26.0,3.6,5.6,64.7,6.8,4.3,,,,,,
364,Jamaal Williams,F,33,23.7,13.8,6.1,12.2,49.6,0.0,0.1,50.0,1.6,2.4,67.1,4.7,1.3,,,,,,
365,Kevin Gardner,F,27,30.7,13.7,5.6,10.9,51.9,0.0,0.1,0.0,2.5,4.0,61.5,7.4,1.0,,,,,,
366,Landy Thompson,G,30,31.7,13.7,4.5,12.3,36.2,2.4,7.7,31.5,2.4,3.2,74.0,3.0,2.4,,,,,,
367,Dominick Martin,C,22,26.9,13.7,6.0,10.5,56.9,0.0,0.0,0.0,1.7,3.0,58.5,7.1,1.4,,,,,,
368,Anthony Register,G,32,33.5,13.7,4.4,11.1,39.3,1.4,4.3,32.6,3.6,4.3,83.2,3.5,1.8,,,,,,
368,Martin Zeno,G,32,35.2,13.7,5.0,10.8,46.8,0.2,0.5,29.4,3.5,4.8,72.7,5.3,2.8,,,,,,
370,John Baumann,F,27,32.1,13.7,4.6,9.6,47.3,0.6,1.4,39.5,4.0,5.1,79.0,6.0,1.5,,,,,,
371,Tamarius Brown,G,10,29.5,13.7,5.0,11.8,42.4,1.6,5.4,29.6,2.1,2.2,95.5,3.3,2.1,,,,,,
372,Jai Lewis,F,35,30.4,13.7,5.2,9.9,52.3,0.5,1.3,34.8,2.8,4.3,65.1,7.8,1.8,,,,,,
373,Clarence Matthews,F,28,28.8,13.7,5.1,9.4,54.5,0.0,0.0,0.0,3.4,5.1,66.4,8.5,1.4,,,,,,
374,Josh Peppers,F,29,28.4,13.7,4.6,10.4,44.5,2.0,5.5,36.9,2.4,3.3,71.9,4.0,1.8,,,,,,
375,Sean Walker,G,30,33.0,13.6,4.0,11.2,35.3,1.2,3.3,37.0,4.5,5.9,75.3,4.7,2.9,,,,,,
376,T.J. Carter,G,32,26.2,13.6,4.8,11.4,42.3,1.7,4.5,36.6,2.3,2.7,86.2,4.1,1.9,,,,,,
377,Rashaun Freeman,C,28,30.8,13.6,5.1,9.7,52.9,0.0,0.0,0.0,3.3,5.3,63.3,9.3,1.3,,,,,,
378,Dwight Boatner,G,20,31.5,13.6,4.3,11.0,38.8,2.1,5.0,42.4,3.0,4.3,70.6,2.0,2.6,,,,,,
378,Jesse Kimbrough,G,5,27.6,13.6,4.6,10.0,46.0,0.2,1.2,16.7,4.2,5.0,84.0,4.0,5.8,,,,,,
380,Sefton Barrett,G-F,27,31.7,13.6,4.7,10.3,45.5,0.4,1.7,25.5,3.7,5.7,65.2,6.5,1.2,,,,,,
381,Trent Plaisted,F-C,29,28.2,13.6,5.0,9.5,52.2,0.0,0.0,0.0,3.7,5.9,61.6,6.9,1.0,Yes,46.0,2008.0,,,
382,Jason Wingate,G,31,32.6,13.6,3.7,9.4,40.0,1.5,3.2,45.5,4.6,5.5,83.7,2.2,3.0,,,,,,
383,James Augustine,F-C,33,32.7,13.6,5.3,8.5,62.4,0.0,0.1,50.0,3.0,4.6,65.1,9.1,1.8,Yes,41.0,2006.0,Yes,41.0,2006.0
384,Jeff Horner,G,30,36.4,13.6,4.2,11.0,38.1,2.3,6.7,34.8,2.8,3.8,74.6,4.1,5.6,,,,,,
384,Alex Bausley,F,30,28.6,13.6,5.2,10.4,50.0,1.1,3.3,34.7,2.0,3.8,53.5,5.2,1.9,,,,,,
386,Dwayne Curtis,C,29,28.2,13.6,5.5,9.7,56.8,0.0,0.0,0.0,2.6,4.4,59.1,7.6,1.4,,,,,,
386,Dereke Tipler,G,29,32.6,13.6,4.4,9.5,46.9,0.7,2.1,33.3,4.0,5.3,75.2,4.4,5.2,,,,,,
388,John Zito,F,28,32.9,13.5,5.3,11.4,45.9,0.4,1.3,32.4,2.6,5.3,49.7,6.8,1.5,,,,,,
389,Sasa Cuic,F,30,26.2,13.5,4.2,8.6,49.0,1.2,2.4,49.3,3.9,5.6,70.7,4.5,0.9,,,,,,
390,Curtis Jerrells,G,17,33.4,13.5,4.8,11.0,43.9,1.7,4.6,36.7,2.2,3.0,72.5,3.1,3.3,,,,,,
391,Johnny Mathies,G,30,32.9,13.5,4.0,10.5,38.3,1.9,5.3,35.0,3.6,4.7,76.4,3.5,2.7,,,,,,
391,Darryl Proctor,F,30,31.2,13.5,4.9,10.5,46.2,0.0,0.3,10.0,3.7,5.6,66.7,7.8,1.6,,,,,,
393,JamesOn Curry,G,33,34.1,13.5,4.8,12.1,39.8,1.9,5.2,37.6,1.9,2.7,70.0,2.8,4.0,Yes,51.0,2007.0,,,
394,Robert Vaden,G-F,31,34.4,13.5,4.8,11.1,43.6,2.6,6.3,41.5,1.2,1.5,80.4,5.5,3.5,Yes,54.0,2009.0,,,
395,Henry Uhegwu,G,29,25.1,13.5,4.0,8.4,47.3,1.9,4.4,43.0,3.7,4.9,74.6,3.2,1.5,,,,,,
396,Alex Loughton,F-C,34,28.5,13.5,4.8,9.8,48.5,0.4,1.2,32.5,3.6,4.8,74.7,7.7,1.4,,,,,,
397,Jermaine Bucknor,F,30,32.9,13.5,4.2,10.8,38.8,2.2,6.9,32.2,2.8,3.6,79.4,4.3,1.7,,,,,,
398,Jordan Farmar,G,37,30.4,13.5,4.6,11.4,41.0,1.7,5.1,33.3,2.5,3.4,71.7,2.6,5.1,Yes,26.0,2006.0,Yes,26.0,2006.0
399,Brandon Rush,G,33,31.7,13.5,5.2,10.9,47.4,1.5,3.2,47.2,1.6,2.2,76.1,5.9,2.0,Yes,13.0,2008.0,,,
400,Adrian Tigert,F,29,30.3,13.4,5.3,9.5,56.2,0.5,1.4,34.1,2.3,3.2,70.2,7.3,2.7,,,,,,
