RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2021,Drafted?,Draft Pick,Draft Year
433,Arinze Chidom,F,20,26.0,13.2,5.4,11.5,47.0,1.1,2.9,38.6,1.3,2.3,55.6,5.3,1.4,,,,,,
434,KeyShawn Feazell,F,21,29.6,13.1,5.2,9.3,56.1,0.0,0.4,12.5,2.6,3.4,76.4,9.9,2.2,,,,,,
434,Landers Nolley,G,28,27.4,13.1,4.5,10.9,41.5,2.3,6.0,38.7,1.8,2.2,80.3,4.1,1.8,,,,,,
434,Cameron Gooden,G,21,32.4,13.1,3.9,10.0,38.9,1.3,4.2,31.5,4.0,5.2,76.4,3.2,3.2,,,,,,
437,Stacy Beckton Jr,G,8,32.5,13.1,4.4,10.0,43.8,1.8,3.9,45.2,2.6,3.4,77.8,4.0,1.1,,,,,,
438,Kasen Harrison,G,25,32.2,13.1,4.6,9.6,47.7,0.6,1.2,48.4,3.3,4.1,80.6,2.8,4.0,,,,,,
439,Trenton Massner,G,27,27.9,13.1,5.0,10.2,49.3,1.2,3.3,37.5,1.8,2.8,65.3,4.7,2.5,,,,,,
440,Isaiah Livers,F,23,31.6,13.1,4.4,9.7,45.7,2.2,5.0,43.1,2.0,2.3,87.0,6.0,2.0,Yes,42.0,2021.0,Yes,42.0,2021.0
441,Brandon Horvath,F,19,33.9,13.1,4.9,10.4,47.5,0.9,3.2,30.0,2.2,3.2,70.0,8.7,1.9,,,,,,
442,Jordan Walker,G,23,33.5,13.0,4.6,11.6,39.8,1.3,4.1,32.6,2.5,3.0,82.6,2.0,4.3,,,,,,
443,Ayo Akinwole,G,25,30.8,13.0,4.5,9.0,49.8,1.6,3.6,45.6,2.4,2.8,87.1,3.6,2.9,,,,,,
444,Mike Adewunmi,G,26,28.7,13.0,4.5,9.4,47.8,1.3,3.8,35.4,2.7,3.7,73.7,6.1,1.0,,,,,,
445,Adrian Delph,G,29,32.6,13.0,4.6,11.6,39.5,2.3,6.6,35.1,1.6,1.9,81.8,4.4,1.2,,,,,,
446,Trae Berhow,G,22,32.9,13.0,4.7,12.2,38.7,2.0,5.8,33.6,1.6,2.4,67.3,4.9,3.0,,,,,,
446,Dawson Garcia,F,27,29.7,13.0,4.5,9.3,48.0,1.0,2.7,35.6,3.1,3.9,78.3,6.6,0.8,,,,,,
446,DJ Steward,G,24,30.8,13.0,4.7,11.0,42.6,1.8,5.3,34.1,1.8,2.2,81.1,3.9,2.4,,,,,,
449,Juan Munoz,G,29,32.8,13.0,4.1,10.8,37.8,2.5,6.6,38.4,2.3,2.9,80.7,3.2,2.9,,,,,,
450,Christiaan Jones,G,27,28.4,13.0,4.5,9.8,45.8,1.0,3.0,35.0,3.0,3.5,84.2,5.6,1.6,,,,,,
450,D.J. Carton,G,27,31.1,13.0,4.5,10.0,44.6,1.2,4.3,28.2,2.8,3.7,74.3,4.1,3.6,,,,,,
452,Jay Huff,F,25,27.0,13.0,5.1,8.7,58.5,1.2,3.0,38.7,1.6,2.0,83.7,7.1,1.0,,,,,,
453,Matt Johnson,G,22,34.0,13.0,4.4,9.2,48.0,2.1,4.7,44.7,2.0,2.2,91.8,2.3,3.0,,,,,,
454,Greg Lee,F,21,27.0,13.0,5.5,11.0,50.4,0.4,1.8,24.3,1.5,2.2,66.0,7.2,2.4,,,,,,
455,Unique McLean,G,19,31.9,12.9,4.9,10.9,45.4,0.7,2.3,31.8,2.3,3.0,77.2,7.3,2.2,,,,,,
455,Roti Ware,G,19,33.2,12.9,4.9,10.5,46.5,1.2,3.5,34.8,1.9,2.4,80.4,3.1,2.7,,,,,,
457,Yeikson Montero,G,18,29.8,12.9,4.7,10.9,43.1,1.8,5.6,33.0,1.7,2.6,65.2,5.4,1.3,,,,,,
458,Mylik Wilson,G,26,33.7,12.9,5.1,11.6,43.9,0.5,2.0,24.5,2.3,3.1,72.8,5.5,3.2,,,,,,
459,Jericole Hellems,F,25,31.5,12.9,4.8,10.5,45.2,1.2,3.2,38.3,2.2,2.8,77.1,5.0,1.8,,,,,,
460,Andrew Funk,G,12,33.8,12.9,4.3,10.3,41.1,1.5,5.6,26.9,2.9,3.4,85.4,4.3,1.5,,,,,,
460,Chuck Harris,G,24,29.7,12.9,4.3,10.7,40.1,2.0,5.0,40.3,2.3,2.8,83.6,3.0,2.3,,,,,,
462,Daivien Williamson,G,22,34.3,12.9,4.4,9.7,45.5,1.6,4.3,37.2,2.5,3.2,78.6,2.1,2.5,,,,,,
462,Dylan Penn,G,22,32.0,12.9,5.7,11.2,51.2,0.4,1.4,26.7,1.1,1.6,66.7,3.8,3.6,,,,,,
464,Kane Williams,G,21,31.6,12.9,4.1,11.5,36.0,1.3,4.0,32.5,3.3,5.0,67.3,3.6,4.0,,,,,,
465,Jahvon Quinerly,G,30,25.0,12.9,4.7,9.9,47.8,1.7,4.0,43.3,1.7,2.5,68.9,2.2,3.2,,,,,,
465,Setric Millner Jr,F,30,33.6,12.9,4.9,10.6,46.5,0.7,2.6,27.3,2.3,3.5,66.7,6.8,2.5,,,,,,
467,De'Vion Harmon,G,25,31.8,12.9,5.0,10.4,47.7,1.3,4.0,33.0,1.6,2.2,73.2,3.4,2.1,,,,,,
