RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2011,Drafted?,Draft Pick,Draft Year
109,Kevin Murphy,G,33,29.3,17.0,6.1,12.8,47.8,1.1,3.4,33.3,3.6,4.9,73.5,4.5,1.7,1.0,0.2,3.3,Yes,47.0,2012.0,,,
110,Scotty Hopson,G,32,29.3,17.0,5.9,13.0,45.2,1.7,4.4,37.6,3.6,4.8,73.5,3.3,1.3,0.8,0.2,2.8,,,,,,
111,Kendall Timmons,G-F,30,36.1,17.0,5.9,13.2,44.4,0.7,1.9,39.3,4.5,7.0,64.3,8.3,3.3,1.9,0.6,2.9,,,,,,
112,Tyler Murray,G,30,37.1,16.9,5.2,11.9,43.9,2.0,4.7,41.5,4.5,5.4,82.8,4.6,3.5,1.3,0.3,3.2,,,,,,
113,Kyle Singler,F,37,34.8,16.9,5.9,13.8,43.0,1.7,5.2,32.1,3.4,4.2,80.6,6.8,1.6,0.9,0.3,1.9,Yes,33.0,2011.0,Yes,33.0,2011.0
114,Marcus Denmon,G,34,30.4,16.9,5.9,11.7,50.0,2.4,5.4,44.8,2.8,3.6,75.8,3.5,1.8,1.8,0.1,0.9,Yes,59.0,2012.0,,,
115,Jordan Williams,F,33,32.5,16.9,6.5,12.0,53.8,0.0,0.0,0.0,4.0,6.9,57.5,11.8,0.6,0.7,1.4,1.6,Yes,36.0,2011.0,Yes,36.0,2011.0
116,Ashton Gibbs,G,31,32.8,16.8,5.5,11.7,46.8,3.3,6.7,49.0,2.6,2.9,88.9,2.4,2.8,0.4,0.0,1.6,,,,,,
116,Stan Okoye,F,31,29.1,16.8,6.2,12.1,51.3,1.1,3.1,35.4,3.3,4.6,71.3,8.0,1.7,1.1,0.8,2.3,,,,,,
118,Hillary Haley,G,31,29.8,16.8,5.5,13.4,41.2,1.6,5.2,31.3,4.2,5.7,72.9,5.8,0.7,0.7,0.2,1.6,,,,,,
119,Noruwa Agho,G,28,34.5,16.8,5.9,13.8,42.9,1.5,3.8,38.3,3.5,5.3,65.1,4.9,4.3,1.0,0.6,3.2,,,,,,
120,Isaiah Thomas,G,35,31.9,16.8,5.4,12.1,44.5,1.7,4.9,34.9,4.3,6.0,71.9,3.5,6.1,1.3,0.1,3.0,Yes,60.0,2011.0,Yes,60.0,2011.0
121,Jeremy Green,G,31,32.6,16.7,5.6,13.2,42.3,2.8,6.6,42.9,2.7,3.5,79.4,3.4,1.0,0.5,0.1,2.1,,,,,,
122,Brandon Wood,G,33,31.9,16.7,6.3,13.5,46.3,1.8,5.1,36.3,2.3,3.5,66.4,4.3,3.1,1.7,0.2,2.2,,,,,,
123,Chaisson Allen,G,29,37.1,16.7,5.4,12.9,41.7,2.1,5.6,38.0,3.8,5.4,70.1,6.1,3.7,2.1,0.1,1.9,,,,,,
124,Antoine Mason,G,3,34.7,16.7,4.3,13.0,33.3,2.0,7.7,26.1,6.0,7.7,78.3,4.3,1.0,0.7,0.3,2.0,,,,,,
125,Tim Ambrose,G,32,33.9,16.6,6.0,13.2,45.5,1.9,4.5,42.8,2.7,3.8,69.7,5.2,3.6,1.3,0.2,3.0,,,,,,
125,John Shurna,F,32,34.0,16.6,5.5,11.4,48.1,2.3,5.4,43.4,3.3,4.6,70.7,4.9,2.6,1.1,1.0,1.8,,,,,,
127,Solomon Bozeman,G,36,30.6,16.6,4.3,9.8,43.3,1.8,3.9,45.8,6.3,7.8,80.7,2.1,2.8,0.7,0.1,2.6,,,,,,
128,Kevin Anderson,G,37,36.2,16.6,5.7,13.4,42.7,1.9,4.7,40.8,3.2,4.3,75.0,2.8,3.3,1.4,0.1,1.9,,,,,,
129,Josh Slater,G,30,31.1,16.5,5.0,11.7,42.9,1.1,3.9,28.8,5.3,7.4,72.1,6.1,4.6,3.1,0.2,3.1,,,,,,
130,Kyle O'Quinn,C,32,32.8,16.4,6.2,11.1,55.6,0.5,2.0,23.8,3.6,4.7,76.2,11.1,1.0,0.6,3.4,2.1,Yes,49.0,2012.0,,,
131,Trey Thompkins,F,30,31.2,16.4,6.5,13.4,48.1,0.8,2.5,31.1,2.7,4.0,68.9,7.6,1.4,1.1,1.7,2.5,Yes,37.0,2011.0,Yes,37.0,2011.0
132,Matt Howard,F,37,31.0,16.4,5.1,10.8,47.1,1.4,3.6,39.8,4.8,6.1,79.2,7.7,1.4,1.1,0.6,1.7,,,,,,
